,Entity,Year,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled),GDP_PPP
1709,Non-OECD,1994,87.53382744444446,0.0138888888888888,1.638631388888889,3035.015883333333,709.8047280555555,9223.17038888889,13757.259391666666,13965.096702777775,18.97172703,
1710,Non-OECD,1995,90.7354893611111,0.02225,3.1341255555555554,3149.3448055555555,735.7508444444444,9340.358722222223,13872.014869444443,14212.357397222222,22.64236614,
1711,Non-OECD,1996,93.44856347222223,0.041835,2.8461652777777777,3147.076386111111,813.8844277777778,9781.363380555556,14114.35661111111,14348.0329,23.91400096,
1712,Non-OECD,1997,91.10224627777778,0.0473961111111111,3.6238288888888888,3206.559586111111,827.7127252777777,9522.170055555556,13964.954719444444,15088.672519444444,27.32151875,
1713,Non-OECD,1998,89.68085997222224,0.0558044444444444,4.3498158333333325,3356.410486111111,805.1369319444444,9840.120677777775,13866.16953888889,15138.58298888889,29.84430081,
1714,Non-OECD,1999,89.50750841666668,0.064435,5.941369444444445,3372.8131166666667,853.1145175,10129.767269444445,14097.731588888888,15516.628783333332,34.9033149,
1715,Non-OECD,2000,78.11726361111111,0.1239797222222222,7.387769444444444,3491.107883333333,919.1165594444444,10520.006677777776,14521.001275,15961.549352777776,39.36631994,
1716,Non-OECD,2001,70.66122633333335,0.1781336111111111,9.970145833333332,3561.105611111111,955.0906177777778,10956.262377777775,15103.586088888887,16370.090858333331,41.7111229,
1717,Non-OECD,2002,89.63807780555555,0.2430958333333333,10.71441,3606.4278194444446,1001.3888252777778,11357.531888888889,16030.481458333334,16784.21721111111,43.90940704,
1718,Non-OECD,2003,89.26784211111111,0.3140958333333333,12.745476388888887,3638.3234222222222,1067.401046111111,11867.261638888887,18265.925325,17400.006447222222,47.13342002,
1719,Non-OECD,2004,98.4914246388889,0.3754561111111111,21.384726944444445,4055.367927777778,1090.2960494444444,12627.573644444445,20398.88363888889,18613.848919444445,50.55816226,
1720,Non-OECD,2005,106.93594711111112,0.4400941666666666,25.47222555555556,4253.314391666667,1093.3569975,13212.450544444446,22802.962991666667,18993.61870555556,54.25657343,
1721,Non-OECD,2006,104.63987947222222,0.5749708333333333,40.62264166666667,4461.108875,1124.7949849999998,13899.063933333333,24591.281966666666,19708.35124444444,61.34674358,
1722,Non-OECD,2007,135.13417952777775,0.826998888888889,53.45673166666666,4664.847991666666,1145.4932841666666,14521.397722222222,26539.277155555552,20527.7963,70.29618543,
1723,Non-OECD,2008,178.83653550000002,1.0652811111111111,83.17273583333333,4961.219747222222,1169.2583033333335,15001.27661111111,27326.21543611111,21046.70963888889,81.73393896,
1724,Non-OECD,2009,199.4644348611112,1.621718888888889,128.4281036111111,4961.421697222222,1156.775865,14842.175794444443,28119.59586111111,21463.34355833333,95.15990127,
1725,Non-OECD,2010,219.6638785277778,3.477758055555556,200.59966972222225,5312.104075,1215.5097238888889,16071.398383333331,29226.99080555556,22784.225494444443,113.5881839,
1726,Non-OECD,2011,215.8947785277778,12.12158638888889,282.6547005555556,5350.302011111111,1281.0849205555555,16881.935163888887,31487.971944444445,23590.66476666667,121.6159399,
1727,Non-OECD,2012,223.06682291666667,23.832994722222224,378.7382736111112,5687.644405555555,1310.2571269444445,17369.12783611111,32164.29219444444,24472.74908611111,132.8713317,
1728,Non-OECD,2013,263.8516110555556,45.979726388888885,490.65806805555553,5982.471152777778,1317.4888130555555,17580.729783333332,32871.879499999995,25144.906583333333,149.1794022,
1729,Non-OECD,2014,300.4885877777778,97.23154527777776,577.1773508333333,6251.225780555556,1407.0090016666666,18088.877394444444,33210.32119444444,25716.534891666663,171.6011324,
1730,Non-OECD,2015,321.5930211111111,154.0762558333333,688.061011111111,6230.446522222223,1520.0626305555554,18544.99156111111,32888.96094444444,26445.156791666665,187.6211849,
1731,Non-OECD,2016,328.41700194444445,248.83508388888887,890.9100408333333,6461.784013888889,1611.187415,19010.23421111111,32957.102666666666,27037.949708333334,200.2100645,
1732,Non-OECD,2017,336.0246577777778,419.0566172222222,1104.6856161111111,6553.47225,1693.6151308333333,19749.73282777777,33263.37725,27583.84273611111,222.8829995,
1733,Non-OECD,2018,394.8647091666666,624.2329916666666,1304.3645980555557,6699.454611111111,1815.6952958333327,20740.34402222222,34148.13213888889,27906.750027777776,246.0301399,
1734,Non-OECD,2019,458.55628972222223,815.0916133333334,1454.3649927777778,6892.984438888889,1985.8484930555555,21039.674508333334,34816.948333333334,28258.384472222224,273.3784405,
1735,Non-OECD,2020,446.8945380555556,986.8958602777776,1624.0321627777778,6950.141088888889,2031.385812222222,20650.97818055556,34434.295277777775,26447.012925,300.0841667,
1736,North America,1990,16.732739605555555,1.0327636111111111,7.832463611111111,1701.236616111111,1896.1661636111112,6076.38865,5692.841591666666,11139.72186388889,66.53731526,6490379748849.87
1737,North America,1991,19.38872939166667,1.3340358333333333,8.28799388888889,1714.5201941666664,2037.1841725,6208.344263888888,5631.064711111111,10927.0864,70.36827563,6702524728216.79
1738,North America,1992,22.044720116666667,1.1497141666666666,8.268583055555554,1648.372296666667,2042.457055555556,6426.45815,5673.622555555555,11149.905088888889,75.64593509,7096659757216.19
1739,North America,1993,25.759469697222222,1.3367069444444446,8.600524722222222,1744.77715,2057.2972630555555,6604.766088888889,5842.054872222222,11238.941183333334,78.24148435,7464794172844.39
